land_area_acres,soil_type,soil_ph,water_source,irrigation_availability,season,investment_budget,resource_intensity,previous_crop,current_crop,soil_health_score,recommended_crop,match_percentage
6,Sandy,7.5,Rainfed,Limited,Summer,Medium,High Input,Millet,Millet,64,Green Gram (Moong),98
9,Loamy,6.4,Rainfed,Available,Kharif,Low,High Input,Millet,Maize,82,Cotton,98
9,Clay,6.1,Rainfed,Available,Rabi,Low,High Input,Millet,Millet,84,Basmati Rice,98
6,Loamy,5.6,Borewell,Limited,Kharif,Low,High Input,Maize,Maize,72,Millet,98
1,Sandy,6.3,Rainfed,Limited,Kharif,Medium,Low Input,Millet,Rice,84,Green Gram (Moong),98
6,Loamy,7.1,Borewell,Limited,Summer,Medium,High Input,Wheat,Millet,70,Sunflower,98
6,Loamy,7.5,Canal,Available,Rabi,High,Fertilizer Usage,Wheat,Groundnut,63,Sunflower,98
9,Sandy,6.9,Borewell,Limited,Summer,High,Fertilizer Usage,Groundnut,Cotton,77,Groundnut,98
9,Loamy,6.3,Rainfed,Available,Rabi,Low,Low Input,Maize,Groundnut,81,Mustard,98
2,Clay,7.2,Canal,Limited,Summer,Medium,High Input,Wheat,Wheat,68,Cotton,98
1,Sandy,5.9,Canal,Available,Rabi,High,High Input,Cotton,Millet,64,Sunflower,98
7,Sandy,6.2,Rainfed,Limited,Rabi,Medium,High Input,Groundnut,Rice,97,Sunflower,95
3,Clay,7.1,Canal,Limited,Kharif,Low,Fertilizer Usage,Maize,Cotton,71,Cotton,98
8,Loamy,6.5,Rainfed,Available,Kharif,Medium,Fertilizer Usage,Groundnut,Millet,81,Green Gram (Moong),98
7,Sandy,7.3,Rainfed,Limited,Rabi,High,Low Input,Millet,Rice,63,Millet,98
7,Loamy,6.2,Borewell,Available,Summer,High,High Input,Groundnut,Maize,73,Sunflower,98
9,Sandy,5.9,Canal,Available,Rabi,Medium,High Input,Cotton,Groundnut,78,Sunflower,98
5,Clay,6.3,Rainfed,Limited,Summer,High,Low Input,Maize,Wheat,77,Green Gram (Moong),98
9,Sandy,7.4,Canal,Limited,Rabi,High,High Input,Groundnut,Rice,70,Millet,98
5,Clay,6.3,Canal,Available,Rabi,Low,High Input,Groundnut,Maize,73,Basmati Rice,98
1,Clay,6.2,Canal,Limited,Kharif,Low,High Input,Maize,Millet,81,Cotton,98
2,Sandy,7.2,Rainfed,Available,Kharif,High,Low Input,Rice,Groundnut,61,Groundnut,98
6,Loamy,6.9,Canal,Available,Kharif,High,Low Input,Millet,Cotton,91,Groundnut,98
9,Clay,5.9,Canal,Available,Rabi,High,Low Input,Rice,Rice,80,Mustard,98
6,Clay,6.0,Rainfed,Available,Kharif,Low,Low Input,Millet,Cotton,91,Millet,98
6,Loamy,6.0,Borewell,Available,Rabi,High,High Input,Cotton,Millet,80,Sunflower,98
10,Sandy,6.9,Canal,Limited,Rabi,Low,Fertilizer Usage,Groundnut,Cotton,81,Sunflower,98
9,Loamy,6.5,Rainfed,Available,Summer,Medium,High Input,Maize,Groundnut,88,Sunflower,98
1,Sandy,6.3,Rainfed,Available,Summer,Low,Fertilizer Usage,Cotton,Wheat,91,Millet,98
5,Loamy,7.3,Canal,Limited,Summer,Medium,Low Input,Millet,Groundnut,70,Sunflower,98
3,Clay,7.0,Canal,Available,Kharif,High,Low Input,Maize,Cotton,84,Cotton,98
3,Clay,6.8,Canal,Limited,Kharif,Medium,High Input,Maize,Wheat,94,Cotton,98
3,Sandy,6.6,Rainfed,Available,Rabi,High,Low Input,Millet,Rice,74,Mustard,98
10,Loamy,5.5,Canal,Available,Rabi,Low,Fertilizer Usage,Maize,Rice,59,Mustard,98
4,Loamy,6.3,Rainfed,Limited,Kharif,Medium,Fertilizer Usage,Groundnut,Rice,89,Green Gram (Moong),98
4,Sandy,5.6,Canal,Limited,Kharif,Medium,Fertilizer Usage,Maize,Maize,56,Groundnut,98
4,Loamy,6.3,Rainfed,Available,Rabi,Low,Fertilizer Usage,Maize,Rice,70,Millet,98
1,Clay,6.0,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Rice,Millet,87,Mustard,98
4,Clay,7.0,Rainfed,Available,Summer,Low,Fertilizer Usage,Wheat,Maize,83,Green Gram (Moong),98
1,Loamy,6.9,Borewell,Limited,Summer,Medium,Fertilizer Usage,Cotton,Cotton,93,Green Gram (Moong),98
10,Clay,6.2,Rainfed,Limited,Kharif,Low,High Input,Groundnut,Rice,80,Cotton,98
9,Loamy,5.8,Rainfed,Limited,Summer,Low,Fertilizer Usage,Groundnut,Maize,68,Sunflower,98
2,Clay,6.8,Borewell,Limited,Summer,Low,Fertilizer Usage,Wheat,Cotton,84,Sunflower,98
10,Sandy,7.0,Canal,Limited,Summer,High,High Input,Maize,Rice,84,Green Gram (Moong),98
5,Loamy,6.0,Borewell,Available,Rabi,High,Low Input,Groundnut,Maize,80,Sunflower,98
4,Loamy,7.1,Rainfed,Available,Rabi,High,High Input,Wheat,Wheat,50,Mustard,98
2,Clay,7.2,Canal,Limited,Rabi,High,Fertilizer Usage,Rice,Groundnut,67,Mustard,98
1,Loamy,5.9,Borewell,Available,Rabi,Low,High Input,Wheat,Cotton,69,Basmati Rice,98
10,Loamy,6.8,Rainfed,Available,Rabi,High,Fertilizer Usage,Rice,Millet,79,Mustard,98
3,Loamy,6.3,Borewell,Limited,Summer,Low,High Input,Wheat,Rice,89,Green Gram (Moong),98
4,Clay,6.9,Rainfed,Available,Kharif,High,High Input,Millet,Millet,83,Basmati Rice,98
10,Loamy,5.8,Rainfed,Limited,Kharif,Medium,High Input,Maize,Wheat,65,Basmati Rice,98
2,Clay,5.9,Rainfed,Available,Kharif,Medium,Fertilizer Usage,Groundnut,Rice,64,Cotton,98
1,Clay,6.5,Rainfed,Limited,Rabi,High,Fertilizer Usage,Millet,Wheat,79,Mustard,98
9,Sandy,7.2,Rainfed,Available,Kharif,Low,High Input,Groundnut,Millet,62,Millet,98
8,Sandy,6.5,Canal,Available,Rabi,Medium,Fertilizer Usage,Millet,Rice,98,Mustard,98
8,Sandy,6.7,Canal,Limited,Rabi,Low,Fertilizer Usage,Wheat,Wheat,73,Mustard,98
7,Clay,7.2,Borewell,Available,Summer,Low,Low Input,Wheat,Millet,59,Green Gram (Moong),98
3,Clay,6.4,Borewell,Available,Summer,High,High Input,Rice,Cotton,83,Basmati Rice,98
9,Loamy,6.8,Canal,Limited,Kharif,Low,High Input,Groundnut,Wheat,81,Basmati Rice,98
7,Clay,7.2,Borewell,Limited,Summer,Medium,High Input,Millet,Millet,71,Sunflower,98
6,Loamy,5.9,Canal,Limited,Kharif,Medium,High Input,Wheat,Cotton,60,Basmati Rice,98
2,Sandy,5.8,Rainfed,Limited,Summer,High,High Input,Cotton,Millet,62,Green Gram (Moong),98
8,Clay,7.3,Canal,Limited,Summer,Low,Low Input,Maize,Rice,71,Green Gram (Moong),98
8,Sandy,6.1,Canal,Limited,Kharif,Medium,Fertilizer Usage,Wheat,Cotton,84,Groundnut,98
4,Loamy,6.3,Borewell,Available,Rabi,Low,Fertilizer Usage,Cotton,Cotton,80,Sunflower,98
9,Sandy,6.9,Rainfed,Limited,Summer,Low,Fertilizer Usage,Millet,Wheat,80,Green Gram (Moong),98
3,Sandy,7.4,Borewell,Available,Rabi,Medium,Low Input,Millet,Wheat,76,Sunflower,98
3,Loamy,7.4,Canal,Limited,Summer,Medium,Low Input,Wheat,Rice,61,Green Gram (Moong),98
1,Clay,6.1,Rainfed,Available,Summer,Low,Fertilizer Usage,Groundnut,Maize,82,Green Gram (Moong),98
1,Loamy,6.6,Canal,Available,Rabi,High,High Input,Wheat,Wheat,79,Sunflower,98
2,Loamy,7.1,Rainfed,Limited,Kharif,Medium,Low Input,Cotton,Wheat,47,Green Gram (Moong),98
10,Clay,6.4,Borewell,Available,Rabi,Low,Fertilizer Usage,Rice,Maize,78,Mustard,98
8,Clay,7.4,Canal,Available,Kharif,High,Low Input,Cotton,Groundnut,67,Cotton,98
6,Sandy,5.6,Canal,Available,Summer,Low,Low Input,Maize,Millet,68,Green Gram (Moong),98
2,Clay,6.2,Rainfed,Available,Kharif,Low,High Input,Cotton,Rice,84,Basmati Rice,98
4,Loamy,6.3,Canal,Limited,Kharif,Low,High Input,Cotton,Wheat,86,Cotton,98
9,Loamy,7.2,Canal,Available,Summer,High,High Input,Rice,Rice,73,Sunflower,98
4,Sandy,6.7,Borewell,Available,Rabi,Medium,Low Input,Groundnut,Groundnut,76,Millet,98
7,Loamy,7.2,Borewell,Available,Summer,Low,High Input,Rice,Cotton,60,Sunflower,98
3,Sandy,6.9,Borewell,Available,Summer,High,Low Input,Cotton,Rice,83,Sunflower,98
10,Sandy,6.6,Rainfed,Available,Summer,Low,High Input,Millet,Rice,75,Sunflower,98
8,Sandy,6.1,Borewell,Limited,Rabi,Medium,High Input,Maize,Wheat,79,Sunflower,98
6,Sandy,6.8,Borewell,Limited,Rabi,Low,High Input,Cotton,Cotton,77,Sunflower,98
1,Loamy,7.3,Canal,Available,Kharif,High,High Input,Rice,Groundnut,61,Cotton,98
1,Sandy,7.4,Borewell,Limited,Rabi,High,Fertilizer Usage,Rice,Wheat,62,Millet,98
3,Loamy,5.6,Rainfed,Available,Summer,High,High Input,Millet,Millet,68,Green Gram (Moong),98
7,Clay,5.9,Canal,Limited,Kharif,Medium,Low Input,Groundnut,Wheat,71,Basmati Rice,98
5,Loamy,7.5,Rainfed,Available,Rabi,Medium,High Input,Cotton,Groundnut,63,Mustard,98
7,Loamy,7.0,Canal,Limited,Kharif,High,Fertilizer Usage,Groundnut,Rice,77,Green Gram (Moong),98
10,Clay,6.4,Canal,Available,Summer,Low,Fertilizer Usage,Cotton,Maize,83,Sunflower,98
1,Loamy,5.6,Canal,Limited,Kharif,High,Low Input,Millet,Wheat,54,Millet,98
3,Loamy,7.1,Borewell,Available,Summer,Low,Low Input,Wheat,Cotton,57,Sunflower,98
2,Loamy,7.0,Borewell,Limited,Summer,Low,Fertilizer Usage,Wheat,Cotton,81,Green Gram (Moong),98
3,Loamy,6.9,Canal,Available,Summer,Low,Low Input,Maize,Rice,73,Green Gram (Moong),98
10,Loamy,6.5,Rainfed,Limited,Rabi,High,Fertilizer Usage,Cotton,Wheat,82,Mustard,98
8,Loamy,5.9,Borewell,Limited,Kharif,Low,Low Input,Rice,Wheat,59,Groundnut,98
7,Sandy,6.6,Borewell,Available,Summer,Medium,Fertilizer Usage,Wheat,Cotton,83,Green Gram (Moong),98
5,Sandy,7.1,Canal,Available,Kharif,High,Fertilizer Usage,Wheat,Maize,64,Groundnut,98
3,Sandy,6.7,Canal,Limited,Kharif,Low,Low Input,Wheat,Groundnut,77,Millet,98
8,Sandy,6.0,Canal,Available,Kharif,High,Fertilizer Usage,Wheat,Rice,91,Groundnut,98
1,Loamy,7.2,Rainfed,Limited,Rabi,High,High Input,Rice,Millet,62,Mustard,98
2,Clay,6.3,Borewell,Available,Summer,Low,Fertilizer Usage,Groundnut,Cotton,79,Sunflower,98
2,Loamy,6.1,Borewell,Limited,Kharif,Medium,Low Input,Rice,Groundnut,86,Green Gram (Moong),98
7,Sandy,6.1,Borewell,Available,Kharif,Medium,High Input,Wheat,Maize,92,Groundnut,98
7,Sandy,6.2,Rainfed,Limited,Rabi,Low,Low Input,Cotton,Millet,85,Mustard,98
8,Clay,6.1,Canal,Limited,Rabi,High,High Input,Rice,Groundnut,88,Mustard,98
8,Clay,6.3,Canal,Limited,Summer,Low,High Input,Groundnut,Maize,81,Sunflower,98
10,Sandy,5.9,Rainfed,Limited,Kharif,High,High Input,Wheat,Millet,70,Millet,98
6,Clay,6.7,Canal,Limited,Rabi,Low,Fertilizer Usage,Millet,Cotton,84,Basmati Rice,97
2,Clay,6.3,Borewell,Limited,Summer,Low,Fertilizer Usage,Millet,Millet,90,Green Gram (Moong),98
4,Clay,6.2,Rainfed,Available,Rabi,Medium,High Input,Millet,Groundnut,90,Mustard,98
1,Sandy,6.5,Canal,Limited,Rabi,Medium,Low Input,Millet,Wheat,71,Millet,98
2,Loamy,6.6,Rainfed,Available,Kharif,High,High Input,Millet,Rice,78,Cotton,98
1,Loamy,6.6,Borewell,Available,Rabi,Medium,Fertilizer Usage,Cotton,Cotton,84,Mustard,98
7,Loamy,6.9,Rainfed,Available,Rabi,High,Low Input,Groundnut,Wheat,86,Green Gram (Moong),98
6,Sandy,5.5,Canal,Available,Kharif,Medium,Low Input,Millet,Rice,70,Millet,98
2,Clay,7.4,Borewell,Available,Summer,Low,Low Input,Wheat,Wheat,65,Sunflower,98
6,Loamy,5.6,Borewell,Available,Summer,Medium,High Input,Millet,Groundnut,74,Sunflower,98
1,Sandy,7.4,Rainfed,Limited,Summer,Low,High Input,Maize,Wheat,57,Green Gram (Moong),98
3,Sandy,6.3,Canal,Available,Kharif,Medium,Fertilizer Usage,Rice,Groundnut,84,Groundnut,98
2,Sandy,6.5,Borewell,Limited,Kharif,Medium,Fertilizer Usage,Cotton,Maize,81,Groundnut,98
8,Loamy,7.1,Canal,Available,Rabi,Medium,Low Input,Millet,Groundnut,65,Millet,98
5,Loamy,7.1,Rainfed,Available,Rabi,Low,Low Input,Millet,Millet,61,Mustard,98
10,Clay,6.0,Rainfed,Available,Summer,High,Low Input,Millet,Groundnut,76,Green Gram (Moong),98
8,Clay,6.9,Rainfed,Limited,Rabi,High,High Input,Maize,Cotton,85,Mustard,98
9,Sandy,5.5,Borewell,Limited,Rabi,Medium,Low Input,Groundnut,Rice,76,Millet,98
2,Clay,5.6,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Groundnut,Rice,68,Sunflower,94
7,Clay,7.1,Borewell,Limited,Summer,Low,Fertilizer Usage,Wheat,Maize,56,Cotton,98
9,Loamy,6.0,Borewell,Available,Kharif,High,Fertilizer Usage,Groundnut,Groundnut,75,Cotton,98
1,Sandy,6.5,Rainfed,Available,Kharif,Medium,High Input,Millet,Cotton,91,Groundnut,98
3,Sandy,6.2,Rainfed,Available,Summer,High,Low Input,Maize,Rice,93,Green Gram (Moong),98
10,Loamy,6.4,Rainfed,Available,Summer,Medium,High Input,Groundnut,Rice,83,Green Gram (Moong),98
2,Sandy,7.2,Rainfed,Limited,Rabi,Low,Fertilizer Usage,Millet,Groundnut,65,Sunflower,98
9,Clay,7.0,Rainfed,Available,Rabi,Medium,Low Input,Rice,Rice,89,Mustard,95
5,Clay,5.5,Borewell,Limited,Kharif,Low,Fertilizer Usage,Millet,Maize,61,Millet,96
10,Sandy,7.5,Rainfed,Limited,Rabi,High,Low Input,Groundnut,Cotton,63,Mustard,98
6,Sandy,6.1,Rainfed,Limited,Summer,Medium,Low Input,Rice,Cotton,83,Green Gram (Moong),98
10,Clay,6.1,Borewell,Limited,Kharif,Low,Low Input,Wheat,Groundnut,86,Cotton,97
4,Loamy,6.4,Rainfed,Available,Rabi,Low,Fertilizer Usage,Cotton,Millet,85,Sunflower,98
5,Clay,6.3,Borewell,Limited,Rabi,High,Low Input,Groundnut,Cotton,87,Green Gram (Moong),98
1,Sandy,5.7,Canal,Limited,Kharif,High,Low Input,Wheat,Millet,65,Millet,98
3,Loamy,6.9,Rainfed,Available,Summer,Medium,Low Input,Maize,Maize,83,Green Gram (Moong),98
3,Loamy,7.5,Borewell,Limited,Rabi,High,High Input,Groundnut,Cotton,59,Mustard,98
4,Sandy,7.2,Rainfed,Limited,Rabi,High,Fertilizer Usage,Groundnut,Rice,62,Millet,98
6,Sandy,6.8,Rainfed,Available,Rabi,High,Fertilizer Usage,Groundnut,Millet,75,Groundnut,98
3,Sandy,6.4,Rainfed,Limited,Summer,Medium,Low Input,Groundnut,Millet,83,Green Gram (Moong),98
4,Clay,5.7,Rainfed,Limited,Summer,Medium,High Input,Groundnut,Cotton,65,Basmati Rice,90
4,Sandy,6.4,Canal,Available,Rabi,High,Fertilizer Usage,Cotton,Millet,79,Groundnut,98
2,Loamy,7.2,Canal,Available,Kharif,High,Low Input,Millet,Groundnut,59,Green Gram (Moong),98
2,Sandy,5.5,Rainfed,Limited,Rabi,Medium,High Input,Millet,Rice,69,Millet,98
4,Loamy,6.7,Rainfed,Limited,Summer,Medium,Fertilizer Usage,Groundnut,Groundnut,74,Green Gram (Moong),98
1,Loamy,5.9,Canal,Limited,Kharif,Low,High Input,Rice,Maize,62,Cotton,98
4,Sandy,7.2,Borewell,Available,Rabi,Medium,Low Input,Millet,Cotton,65,Millet,98
6,Clay,5.6,Borewell,Limited,Kharif,Low,Fertilizer Usage,Groundnut,Groundnut,64,Basmati Rice,98
4,Sandy,6.4,Borewell,Limited,Rabi,Medium,Low Input,Rice,Maize,84,Mustard,98
6,Sandy,7.4,Rainfed,Available,Kharif,High,Low Input,Millet,Millet,65,Millet,98
10,Clay,6.2,Rainfed,Limited,Summer,High,Fertilizer Usage,Wheat,Cotton,95,Green Gram (Moong),98
7,Sandy,6.7,Canal,Limited,Kharif,Medium,High Input,Millet,Wheat,86,Groundnut,98
10,Loamy,5.6,Rainfed,Available,Kharif,Low,Fertilizer Usage,Cotton,Wheat,67,Green Gram (Moong),98
7,Loamy,6.2,Rainfed,Limited,Summer,Low,Fertilizer Usage,Cotton,Maize,79,Sunflower,98
1,Loamy,6.9,Canal,Limited,Rabi,High,High Input,Cotton,Wheat,86,Sunflower,98
6,Loamy,5.9,Canal,Limited,Kharif,Medium,Low Input,Cotton,Wheat,71,Green Gram (Moong),98
3,Clay,7.1,Rainfed,Limited,Rabi,High,High Input,Wheat,Rice,58,Mustard,98
10,Sandy,7.5,Borewell,Available,Summer,High,High Input,Groundnut,Maize,64,Sunflower,98
1,Clay,6.5,Borewell,Limited,Rabi,Medium,High Input,Rice,Cotton,80,Mustard,98
6,Sandy,6.1,Borewell,Limited,Rabi,Medium,Fertilizer Usage,Millet,Groundnut,80,Millet,98
9,Clay,5.7,Rainfed,Available,Summer,High,Low Input,Cotton,Cotton,51,Sunflower,95
5,Sandy,6.0,Borewell,Available,Kharif,High,Fertilizer Usage,Millet,Maize,87,Groundnut,98
1,Loamy,5.5,Canal,Available,Summer,Medium,High Input,Wheat,Wheat,67,Green Gram (Moong),97
3,Clay,7.2,Borewell,Available,Summer,Low,Fertilizer Usage,Wheat,Cotton,66,Sunflower,98
3,Loamy,7.2,Rainfed,Limited,Rabi,High,Fertilizer Usage,Millet,Cotton,71,Mustard,98
9,Sandy,6.4,Borewell,Limited,Summer,Medium,High Input,Groundnut,Wheat,87,Groundnut,98
5,Clay,7.1,Borewell,Limited,Kharif,Medium,Low Input,Cotton,Cotton,70,Cotton,98
1,Loamy,5.8,Canal,Available,Summer,High,Low Input,Maize,Maize,57,Green Gram (Moong),98
2,Sandy,7.5,Borewell,Limited,Rabi,Low,Low Input,Rice,Millet,63,Millet,98
10,Sandy,6.8,Canal,Limited,Kharif,Medium,Fertilizer Usage,Rice,Millet,81,Millet,98
8,Clay,6.0,Rainfed,Limited,Kharif,Medium,Low Input,Wheat,Rice,88,Cotton,98
8,Sandy,6.1,Canal,Available,Rabi,High,Fertilizer Usage,Millet,Wheat,85,Groundnut,98
1,Sandy,7.2,Canal,Available,Rabi,High,High Input,Millet,Maize,55,Sunflower,98
8,Sandy,6.2,Borewell,Available,Kharif,Medium,High Input,Groundnut,Wheat,97,Millet,98
5,Loamy,6.6,Borewell,Available,Rabi,Low,High Input,Millet,Groundnut,70,Sunflower,98
8,Sandy,7.0,Borewell,Limited,Summer,Low,Fertilizer Usage,Millet,Cotton,98,Green Gram (Moong),98
8,Loamy,6.1,Canal,Available,Kharif,High,Low Input,Rice,Millet,81,Basmati Rice,98
9,Clay,6.8,Borewell,Available,Rabi,High,High Input,Wheat,Millet,77,Mustard,98
4,Clay,6.5,Rainfed,Available,Rabi,High,Fertilizer Usage,Maize,Wheat,81,Mustard,98
7,Clay,6.0,Borewell,Limited,Kharif,High,Fertilizer Usage,Millet,Rice,90,Cotton,98
6,Sandy,6.2,Canal,Available,Summer,Low,Low Input,Cotton,Millet,85,Green Gram (Moong),98
6,Loamy,6.5,Rainfed,Limited,Rabi,High,High Input,Rice,Wheat,81,Mustard,98
9,Clay,6.5,Canal,Limited,Rabi,Low,Low Input,Wheat,Millet,88,Mustard,97
6,Clay,6.1,Canal,Limited,Kharif,Low,Low Input,Cotton,Rice,78,Millet,98
4,Sandy,7.1,Canal,Limited,Rabi,Medium,Low Input,Cotton,Cotton,56,Millet,98
1,Sandy,6.9,Rainfed,Available,Summer,Low,Low Input,Wheat,Millet,80,Green Gram (Moong),98
5,Loamy,6.7,Borewell,Available,Summer,High,Low Input,Maize,Maize,75,Green Gram (Moong),98
4,Clay,7.0,Borewell,Available,Summer,High,Low Input,Wheat,Maize,85,Green Gram (Moong),97
2,Sandy,7.3,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Maize,Wheat,62,Millet,98
1,Loamy,6.4,Borewell,Limited,Summer,Medium,High Input,Cotton,Millet,91,Sunflower,98
9,Loamy,6.1,Rainfed,Available,Kharif,Low,Fertilizer Usage,Millet,Cotton,85,Green Gram (Moong),98
9,Loamy,7.0,Borewell,Available,Rabi,High,Low Input,Groundnut,Maize,91,Sunflower,98
3,Clay,6.0,Canal,Limited,Summer,High,Low Input,Groundnut,Millet,81,Mustard,98
7,Sandy,5.8,Rainfed,Available,Kharif,Medium,Low Input,Maize,Cotton,65,Millet,98
7,Sandy,6.9,Borewell,Available,Summer,Low,Fertilizer Usage,Maize,Groundnut,83,Sunflower,98
9,Loamy,7.0,Borewell,Available,Rabi,Medium,High Input,Wheat,Rice,83,Sunflower,98
7,Sandy,5.9,Canal,Limited,Rabi,Medium,Low Input,Rice,Maize,70,Millet,98
9,Clay,5.8,Canal,Limited,Kharif,High,Fertilizer Usage,Cotton,Maize,68,Cotton,98
7,Loamy,6.7,Borewell,Limited,Summer,Low,Low Input,Groundnut,Wheat,93,Green Gram (Moong),98
3,Sandy,6.7,Borewell,Available,Rabi,Medium,Fertilizer Usage,Rice,Millet,87,Sunflower,98
6,Sandy,5.5,Canal,Available,Summer,Medium,Low Input,Cotton,Wheat,53,Sunflower,98
5,Clay,5.7,Borewell,Limited,Summer,Low,Low Input,Cotton,Groundnut,62,Green Gram (Moong),97
9,Loamy,6.2,Rainfed,Limited,Rabi,High,High Input,Cotton,Millet,90,Mustard,98
2,Clay,6.5,Canal,Limited,Rabi,High,High Input,Groundnut,Wheat,79,Cotton,98
5,Sandy,6.9,Rainfed,Limited,Summer,Medium,Low Input,Millet,Maize,88,Green Gram (Moong),98
6,Clay,7.3,Canal,Available,Summer,Low,Fertilizer Usage,Rice,Cotton,69,Sunflower,98
10,Sandy,6.8,Borewell,Limited,Summer,Low,Fertilizer Usage,Maize,Maize,86,Green Gram (Moong),98
3,Clay,6.9,Borewell,Available,Summer,Low,Low Input,Wheat,Rice,82,Sunflower,97
10,Sandy,7.0,Rainfed,Available,Kharif,Low,Fertilizer Usage,Groundnut,Groundnut,80,Millet,98
2,Loamy,6.6,Borewell,Available,Kharif,Medium,High Input,Groundnut,Wheat,84,Cotton,98
5,Loamy,5.8,Rainfed,Limited,Kharif,High,High Input,Groundnut,Wheat,62,Millet,98
5,Loamy,7.2,Borewell,Limited,Rabi,High,Fertilizer Usage,Rice,Groundnut,68,Mustard,98
9,Clay,6.5,Canal,Limited,Rabi,Medium,Low Input,Maize,Maize,84,Mustard,98
3,Loamy,7.3,Canal,Limited,Kharif,Low,High Input,Cotton,Wheat,67,Cotton,98
4,Clay,5.8,Canal,Limited,Rabi,Low,Low Input,Wheat,Maize,70,Mustard,97
6,Loamy,7.2,Borewell,Available,Kharif,Medium,Fertilizer Usage,Millet,Rice,74,Cotton,98
7,Loamy,6.4,Borewell,Limited,Summer,Low,Low Input,Rice,Cotton,91,Sunflower,98
2,Loamy,7.4,Canal,Limited,Rabi,Medium,Low Input,Groundnut,Groundnut,61,Mustard,98
1,Clay,6.3,Rainfed,Available,Rabi,Low,Fertilizer Usage,Maize,Cotton,91,Mustard,98
9,Loamy,7.5,Borewell,Limited,Kharif,Low,High Input,Wheat,Rice,61,Cotton,98
5,Clay,5.8,Rainfed,Limited,Kharif,Medium,Low Input,Groundnut,Groundnut,59,Millet,98
3,Clay,6.4,Canal,Available,Rabi,High,High Input,Cotton,Millet,85,Basmati Rice,98
10,Sandy,6.7,Rainfed,Limited,Summer,High,Fertilizer Usage,Cotton,Cotton,81,Green Gram (Moong),98
7,Sandy,6.8,Rainfed,Available,Kharif,High,High Input,Cotton,Rice,81,Millet,98
3,Sandy,7.5,Canal,Available,Kharif,Low,Low Input,Wheat,Cotton,63,Groundnut,98
5,Sandy,6.2,Canal,Limited,Kharif,High,High Input,Millet,Maize,74,Groundnut,98
4,Loamy,6.5,Borewell,Available,Rabi,Low,Fertilizer Usage,Wheat,Groundnut,87,Sunflower,98
4,Loamy,5.9,Canal,Available,Kharif,Low,Fertilizer Usage,Wheat,Wheat,63,Millet,98
8,Loamy,6.5,Rainfed,Available,Summer,Medium,Low Input,Wheat,Wheat,72,Sunflower,98
3,Loamy,6.5,Canal,Available,Summer,Low,Low Input,Maize,Rice,74,Sunflower,98
7,Loamy,6.9,Borewell,Limited,Summer,Medium,High Input,Maize,Maize,86,Sunflower,98
1,Clay,7.1,Canal,Available,Rabi,Medium,Fertilizer Usage,Wheat,Maize,68,Mustard,98
7,Sandy,6.3,Canal,Available,Rabi,Low,Fertilizer Usage,Cotton,Maize,82,Sunflower,98
1,Clay,6.6,Borewell,Limited,Rabi,Low,Fertilizer Usage,Millet,Wheat,84,Mustard,98
5,Loamy,7.1,Borewell,Limited,Summer,Low,Fertilizer Usage,Wheat,Millet,62,Green Gram (Moong),98
1,Loamy,7.3,Rainfed,Available,Rabi,Low,Low Input,Cotton,Groundnut,75,Mustard,98
1,Loamy,7.3,Rainfed,Available,Rabi,Low,High Input,Cotton,Maize,71,Mustard,98
8,Clay,5.6,Canal,Limited,Summer,Low,High Input,Millet,Cotton,63,Basmati Rice,97
6,Clay,5.8,Canal,Limited,Summer,High,Low Input,Wheat,Millet,61,Green Gram (Moong),97
8,Loamy,7.1,Canal,Available,Rabi,High,Fertilizer Usage,Wheat,Millet,55,Mustard,98
9,Loamy,7.1,Rainfed,Available,Kharif,Medium,Low Input,Maize,Millet,56,Green Gram (Moong),98
7,Clay,6.7,Borewell,Available,Summer,Medium,Fertilizer Usage,Wheat,Cotton,82,Basmati Rice,98
6,Clay,7.5,Rainfed,Available,Kharif,Medium,High Input,Groundnut,Rice,69,Cotton,98
1,Sandy,6.8,Rainfed,Limited,Rabi,High,High Input,Maize,Millet,93,Millet,98
6,Loamy,5.8,Canal,Available,Summer,High,High Input,Wheat,Millet,76,Sunflower,98
2,Sandy,6.8,Canal,Limited,Summer,Low,Low Input,Groundnut,Maize,86,Green Gram (Moong),98
6,Sandy,7.1,Rainfed,Available,Rabi,Medium,Low Input,Cotton,Cotton,73,Mustard,98
4,Sandy,6.7,Canal,Available,Kharif,Low,High Input,Millet,Wheat,87,Cotton,98
10,Sandy,5.5,Borewell,Available,Kharif,Low,High Input,Maize,Groundnut,74,Groundnut,98
10,Sandy,6.4,Canal,Available,Summer,Medium,High Input,Maize,Groundnut,85,Sunflower,98
2,Loamy,6.3,Canal,Limited,Kharif,Medium,Low Input,Millet,Maize,88,Millet,98
10,Sandy,5.8,Rainfed,Limited,Kharif,Medium,Fertilizer Usage,Rice,Wheat,69,Groundnut,98
8,Clay,5.6,Canal,Available,Rabi,Medium,Fertilizer Usage,Maize,Millet,64,Basmati Rice,98
7,Loamy,6.7,Rainfed,Limited,Rabi,Low,Fertilizer Usage,Wheat,Groundnut,80,Mustard,98
9,Loamy,6.5,Canal,Limited,Rabi,Medium,Fertilizer Usage,Maize,Maize,84,Mustard,98
